date,branded_search_spend,nonbranded_search_spend,facebook_spend,print_spend,ooh_spend,tv_spend,radio_spend,acquisitions
2021-01-31,1575.6,347.49,748.41,500,0,0,0,48995.1
2021-02-07,1544.4,347.49,756.756,500,0,0,0,46195.38
2021-02-14,1528.8,354.51,772.044,500,0,0,0,43908.48
2021-02-21,1528.8,354.51,741.468,500,0,0,1000,51794.82
2021-02-28,3088.8,347.49,1482.624,500,0,0,1000,74053.98
2021-03-07,3088.8,347.49,1528.956,500,0,0,1000,84546
2021-03-14,3104.4,347.49,1614.288,0,0,0,1000,89452.44
2021-03-21,6336.4,351,3136.518,0,0,0,1000,109050.48
2021-03-28,7800,351,3900,0,0,0,1000,88711.98
2021-04-04,2808,354.51,1404,0,0,0,1000,91038.36
2021-04-11,1733.16,347.49,892.5774,0,0,0,1000,88938.36
2021-04-18,1698.84,347.49,866.4084,0,0,0,0,79584.12
2021-04-25,1698.84,347.49,849.42,0,0,0,0,76839.84
2021-05-02,1733.16,354.51,875.2458,0,0,0,0,76839.84
2021-05-09,1698.84,347.49,891.891,0,0,0,0,74844
2021-05-16,1733.16,343.98,831.9168,0,0,0,0,79002
2021-05-23,1681.68,347.49,832.4316,0,0,0,0,76992.3
2021-05-30,1681.68,343.98,849.2484,0,0,0,0,76839.84
2021-06-06,1716,343.98,900.9,0,0,0,0,73458
2021-06-13,1767.48,351,883.74,0,0,0,0,75467.7
2021-06-20,1698.84,358.02,874.9026,0,0,0,0,72723.42
2021-06-27,1716,351,832.26,0,0,0,0,72072
2021-07-04,1698.84,351,840.9258,0,0,0,0,73458
2021-07-11,1681.68,347.49,857.6568,0,0,0,0,72723.42
2021-07-18,1767.48,343.98,848.3904,0,0,0,0,65793.42
2021-07-25,1733.16,343.98,909.909,0,0,0,0,70686
2021-08-01,1698.84,354.51,883.3968,0,0,0,0,67193.28
2021-08-08,1698.84,358.02,806.949,0,0,0,0,59002.02
2021-08-15,1750.32,343.98,918.918,0,0,0,0,57629.88
2021-08-22,1750.32,354.51,883.9116,0,0,0,0,79598
2021-08-29,1898.84,347.49,949.42,0,0,0,0,67326
2021-09-05,1950.32,354.51,1023.918,0,0,0,0,68712
2021-09-12,1767.48,358.02,919.0896,0,0,0,0,71282
2021-09-19,1606.8,354.51,835.536,0,0,0,0,53513.46
2021-09-26,1528.8,354.51,749.112,0,0,0,0,51794.82
2021-10-03,1606.8,482.239,771.264,0,0,0,0,89812.8
2021-10-10,1575.6,486.1,772.044,0,0,0,0,86486.4
2021-10-17,1575.6,489.961,748.41,0,0,0,0,81496.8
2021-10-24,1528.8,489.961,779.688,0,0,0,0,77272.272
2021-10-31,1528.8,489.961,764.4,0,0,0,0,83833.616
2021-11-07,1544.4,486.1,764.478,0,0,0,0,77388.696
2021-11-14,1575.6,478.378,811.434,0,0,0,0,82311.768
2021-11-21,1528.8,482.239,733.824,0,0,0,0,93139.2
2021-11-28,1575.6,482.239,827.19,0,0,0,0,84823.2
2021-12-05,1591.2,478.378,779.688,0,0,0,0,83160
2021-12-12,1575.6,786.1,795.678,0,0,0,0,77388.696
2021-12-19,1591.2,789.961,771.732,0,0,0,0,77388.696
2021-12-26,1544.4,478.378,756.756,1000,1000,0,0,75742.128
2022-01-02,1544.4,489.961,795.366,1000,1000,0,0,81011.1456
2022-01-09,1575.6,493.822,748.41,1000,1000,0,0,79833.6
2022-01-16,1591.2,482.239,819.468,1000,1000,0,0,71131.7376
2022-01-23,1591.2,482.239,803.556,1000,1000,0,0,65204.0928
2022-01-30,3397.68,482.239,1613.898,1000,1000,0,0,70552.944
2022-02-06,3432,482.239,1698.84,1000,1000,0,0,66521.3472
2022-02-13,3397.68,478.378,1630.8864,1000,1000,0,0,63228.2112
2022-02-20,3466.32,478.378,1819.818,1000,1000,0,0,74584.5408
2022-02-27,3500.64,489.961,1837.836,1000,1000,0,0,85637.7312
2022-03-06,3432,1007.85,1630.2,1000,1000,0,0,100746.24
2022-03-13,3534.96,1029.0855,1696.7808,1000,1000,0,0,104451.5136
2022-03-20,3397.68,1000.7715,1613.898,1000,1000,0,0,102222.2712
2022-03-27,3397.68,1000.7715,1698.84,1000,1000,0,0,102125.2512
2022-04-03,3466.32,1014.9285,1819.818,1000,1000,0,0,97781.4684
2022-04-10,3466.32,1014.9285,1767.8232,1000,1000,0,0,95916.3072
2022-04-17,3363.36,1093.693,1631.2296,1000,1000,0,0,93601.1328
2022-04-24,3397.68,1000.7715,1766.7936,1000,0,0,0,100149.3696
2022-05-01,3432,1007.85,1630.2,1000,0,0,0,100149.3696
2022-05-08,3432,1007.85,1664.52,1000,0,2500,0,107775.36
2022-05-15,3466.32,1014.9285,1681.1652,1000,0,2500,0,113762.88
2022-05-22,3432,1007.85,1716,1000,0,2500,0,110868.912
2022-05-29,3500.64,822.007,1820.3328,1000,0,2500,0,100149.3696
2022-06-05,3397.68,800.7715,1766.7936,1000,0,2500,0,95279.52
2022-06-12,3466.32,814.9285,1715.8284,1000,0,2500,0,98173.488
2022-06-19,3534.96,829.0855,1802.8296,0,0,2500,0,104221.7248
2022-06-26,3363.36,793.693,1631.2296,0,0,2500,0,103283.68
2022-07-03,3534.96,829.0855,1855.854,0,0,2500,0,105279.52
2022-07-10,3363.36,793.693,1715.3136,0,0,2500,0,98221.7248
